Mês do Crédito;Diferença devida e não paga (R$);Fator de Atualização do CJF até Dez/2021
05/16;590586,37;1,3088167969
06/16;582093,49;1,2976569471
07/16;635949,5;1,2924869991
08/16;701237,78;1,2855450558
09/16;622891,73;1,2797860187
10/16;550325,84;1,2768492654
11/16;601196,53;1,2744278525
12/16;603183,28;1,2711229329
01/17;563832,63;1,2687123794
02/17;608397,34;1,2647915256
03/17;711559,63;1,2579983346
04/17;543117,44;1,2561141634
05/17;617478,42;1,2534818515
06/17;595600,47;1,2504806978
07/17;573283,51;1,2484831248
08/17;614441,59;1,2507344468
09/17;606957,77;1,2463721443
10/17;576534,56;1,2450026414
11/17;520018,56;1,2407839759
12/17;538173,9;1,2368261323
